Unnamed: 0,Actual Load
2024-12-31 00:00:00+00:00,17755.2
2025-01-31 00:00:00+00:00,19881.14478494624
2025-02-28 00:00:00+00:00,19411.15693452381
2025-03-31 00:00:00+00:00,17029.561914954338
2025-04-30 00:00:00+00:00,15084.974767361111
2025-05-31 00:00:00+00:00,13551.68354502688
2025-06-30 00:00:00+00:00,12772.582027777778
2025-07-31 00:00:00+00:00,12119.086579301074
2025-08-31 00:00:00+00:00,12982.595561155915
2025-09-30 00:00:00+00:00,13420.388784722223
2025-10-31 00:00:00+00:00,15197.09095766129
2025-11-30 00:00:00+00:00,17609.055159722222
2025-12-31 00:00:00+00:00,18153.805969044417
